Run info,Date,Time,Instance,Best obj,Wall time,CPU time,MIP time,Std Dev


######## GRASP RANDOM ########
 
 **************** STARTING RUN **************** 
          Tuesday 31 December  19:14:50 CET 2019
 ********************************************** 

###### TESTSET: NEWMAN1 ######

,2019-12-31,19:17:36,Newman1,2.41768e+07,166,531.688,50,
,2019-12-31,19:20:25,Newman1,2.41768e+07,169,540.86,50,
 
 **************** STARTING RUN **************** 
          Tuesday 31 December  19:22:40 CET 2019
 ********************************************** 

###### TESTSET: NEWMAN1 ######

,2019-12-31,19:26:01,Newman1,2.41793e+07,201,666.464,50,
,2019-12-31,19:29:18,Newman1,2.41793e+07,197,661.692,50,
,2019-12-31,19:31:47,Newman1,2.41798e+07,149,434.328,50,
,2019-12-31,19:33:52,Newman1,2.41795e+07,125,337.552,50,
,2019-12-31,19:35:47,Newman1,2.41795e+07,115,330.64,50,

###### TESTSET: ZUCK_SMALL ######

,2019-12-31,20:02:43,Zuck_small,8.35661e+08,1616,5378.08,50,
,2019-12-31,20:29:05,Zuck_small,8.33078e+08,1582,5387.16,50,
,2019-12-31,20:57:23,Zuck_small,8.27795e+08,1698,5821.22,50,
,2019-12-31,21:24:36,Zuck_small,8.36083e+08,1633,5427.44,50,
,2019-12-31,21:53:57,Zuck_small,8.29532e+08,1761,5921.6,50,

###### TESTSET: MARVIN ######

,2019-12-31,22:26:33,marvin,8.30439e+08,1955,6974.3,50,
,2019-12-31,23:01:09,marvin,8.26926e+08,2076,7328.63,50,
,2019-12-31,23:29:42,marvin,8.31938e+08,1712,6024.19,50,
,2020-01-01,00:03:08,marvin,8.28402e+08,2005,7146.92,50,
,2020-01-01,00:32:37,marvin,8.32101e+08,1768,6516.38,50,

###### TESTSET: ZUCK_MEDIUM ######

,2020-01-01,00:53:52,Zuck_medium,6.55683e+08,1274,2776.37,50,
,2020-01-01,01:16:15,Zuck_medium,6.46605e+08,1342,2897.15,50,
,2020-01-01,01:38:03,Zuck_medium,6.55853e+08,1307,2751.61,50,
,2020-01-01,01:57:42,Zuck_medium,6.55444e+08,1178,2595.06,50,
,2020-01-01,02:17:18,Zuck_medium,6.51217e+08,1175,2517.66,50,



###### TESTSET: ZUCK_LARGE ######

,2020-01-01,04:28:23,Zuck_large,5.18545e+07,2105,4920.67,50,
,2020-01-01,05:01:35,Zuck_large,5.1775e+07,1991,4583.07,50,
,2020-01-01,05:35:44,Zuck_large,5.16479e+07,2048,4828.59,50,
,2020-01-01,06:06:45,Zuck_large,5.14155e+07,1860,4311.41,50,
,2020-01-01,06:42:20,Zuck_large,5.17489e+07,2134,4985.12,50,
 
 **************** FINISHED RUN **************** 
          Wednesday 1 January  06:42:20 CET 2020
 ********************************************** 
  
 **************** STARTING RUN **************** 
          Wednesday 1 January  19:57:58 CET 2020
 ********************************************** 

###### TESTSET: NEWMAN1 ######

,2020-01-01,20:01:56,Newman1,2.41693e+07,238,774.788,50,
,2020-01-01,20:06:26,Newman1,2.41698e+07,270,940.692,50,
,2020-01-01,20:09:13,Newman1,2.41695e+07,167,466.748,50,

###### TESTSET: ZUCK_SMALL ######

,2020-01-01,20:48:05,Zuck_small,8.35908e+08,2332,7450.1,50,
,2020-01-01,21:27:31,Zuck_small,8.33634e+08,2365,7480.96,50,
,2020-01-01,22:11:25,Zuck_small,8.35534e+08,2634,8417.4,50,

###### TESTSET: MARVIN ######

,2020-01-01,23:04:30,marvin,8.49326e+08,3184,11078.8,50,
,2020-01-01,23:53:52,marvin,8.48538e+08,2961,10396,50,
,2020-01-02,00:45:57,marvin,8.46799e+08,3124,11106.5,50,

###### TESTSET: ZUCK_MEDIUM ######

,2020-01-02,01:24:12,Zuck_medium,6.57461e+08,2294,5234.74,50,
,2020-01-02,01:58:02,Zuck_medium,6.56505e+08,2029,4466.9,50,
,2020-01-02,02:34:28,Zuck_medium,6.59387e+08,2185,4804.11,50,



###### TESTSET: ZUCK_LARGE ######

,2020-01-02,04:58:39,Zuck_large,5.42291e+07,3673,8972.15,50,
,2020-01-02,05:46:42,Zuck_large,5.44012e+07,2882,6701.24,50,
,2020-01-02,06:39:49,Zuck_large,5.44302e+07,3186,7177.98,50,
 
 **************** FINISHED RUN **************** 
          Thursday 2 January  06:39:50 CET 2020
 ********************************************** 
 ###### TESTSET: KD ######

,2019-12-21,14:38:15,KD,4.07646e+08,1117,2421.74,20,500,4,5,1,50,500,100,10,0,20,
###### TESTSET: KD ######

,2019-12-23,04:54:22,KD,4.08835e+08,8761,24392.9,100,500,5,1,1,100,2000,1000,10,1,73,
,2019-12-23,07:41:21,KD,4.08354e+08,10017,29092,100,500,5,1,1,100,2000,1000,10,1,85,
###### TESTSET: KD ######

,2019-12-22,12:42:36,KD,4.07462e+08,7477,22071.6,100,500,5,1,1,100,2000,1000,10,1,66,
,2019-12-22,13:23:19,KD,4.08987e+08,2442,6490.32,100,500,5,1,1,100,2000,1000,10,1,21,